"word","polarity"
"a+",0
"abound",0.21
"abounds",0.31
"abundance",0.51
"abundant",0.41
"accessable",0.61
"accessible",0.61
"acclaim",0.31
"acclaimed",0.51
"acclamation",0.71
"accolade",0.41
"accolades",0.51
"accommodative",0.91
"accomodative",0.81
"accomplish",0.61
"accomplished",0.81
"accomplishment",1.01
"accomplishments",1.11
"accurate",0.41
"accurately",0.61
"achievable",0.61
"achievement",0.71
"achievements",0.81
"achievible",0.61
"acumen",0.21
"adaptable",0.51
"adaptive",0.41
"adequate",0.41
"adjustable",0.61
"admirable",0.51
"admirably",0.51
"admiration",0.61
"admire",0.21
"admirer",0.31
"admiring",0.41
"admiringly",0.61
"adorable",0.41
"adore",0.11
"adored",0.21
"adorer",0.21
"adoring",0.31
"adoringly",0.51
"adroit",0.21
"adroitly",0.41
"adulate",0.31
"adulation",0.51
"adulatory",0.51
"advanced",0.41
"advantage",0.51
"advantageous",0.81
"advantageously",1.01
"advantages",0.61
"adventuresome",0.91
"adventurous",0.71
"advocate",0.41
"advocated",0.51
"advocates",0.51
"affability",0.61
"affable",0.31
"affably",0.31
"affectation",0.71
"affection",0.51
"affectionate",0.81
"affinity",0.41
"affirm",0.21
"affirmation",0.71
"affirmative",0.71
"affluence",0.51
"affluent",0.41
"afford",0.21
"affordable",0.61
"affordably",0.61
"afordable",0.51
"agile",0.11
"agilely",0.31
"agility",0.31
"agreeable",0.51
"agreeableness",0.91
"agreeably",0.51
"all-around",0.61
"alluring",0.41
"alluringly",0.61
"altruistic",0.61
"altruistically",1.01
"amaze",0.11
"amazed",0.21
"amazement",0.51
"amazes",0.21
"amazing",0.31
"amazingly",0.51
"ambitious",0.51
"ambitiously",0.71
"ameliorate",0.61
"amenable",0.41
"amenity",0.31
"amiability",0.61
"amiabily",0.41
"amiable",0.31
"amicability",0.71
"amicable",0.41
"amicably",0.41
"amity",0.11
"ample",0.11
"amply",0.11
"amuse",0.11
"amusing",0.31
"amusingly",0.51
"angel",0.11
"angelic",0.31
"apotheosis",0.61
"appeal",0.21
"appealing",0.51
"applaud",0.31
"appreciable",0.71
"appreciate",0.61
"appreciated",0.71
"appreciates",0.71
"appreciative",0.81
"appreciatively",1.01
"appropriate",0.71
"approval",0.41
"approve",0.31
"ardent",0.21
"ardently",0.41
"ardor",0.11
"articulate",0.61
"aspiration",0.61
"aspirations",0.71
"aspire",0.21
"assurance",0.51
"assurances",0.61
"assure",0.21
"assuredly",0.51
"assuring",0.41
"astonish",0.41
"astonished",0.61
"astonishing",0.71
"astonishingly",0.91
"astonishment",0.81
"astound",0.31
"astounded",0.51
"astounding",0.61
"astoundingly",0.81
"astutely",0.41
"attentive",0.51
"attraction",0.61
"attractive",0.61
"attractively",0.81
"attune",0.21
"audible",0.31
"audibly",0.31
"auspicious",0.61
"authentic",0.51
"authoritative",0.91
"autonomous",0.61
"available",0.51
"aver",0.01
"avid",0.01
"avidly",0.21
"award",0.11
"awarded",0.31
"awards",0.21
"awe",0
"awed",0.01
"awesome",0.31
"awesomely",0.51
"awesomeness",0.71
"awestruck",0.51
"awsome",0.21
"backbone",0.41
"balanced",0.41
"bargain",0.31
"beauteous",0.51
"beautiful",0.51
"beautifullly",0.81
"beautifully",0.71
"beautify",0.41
"beauty",0.21
"beckon",0.21
"beckoned",0.41
"beckoning",0.51
"beckons",0.31
"believable",0.61
"believeable",0.71
"beloved",0.31
"benefactor",0.61
"beneficent",0.61
"beneficial",0.61
"beneficially",0.81
"beneficiary",0.71
"benefit",0.31
"benefits",0.41
"benevolence",0.71
"benevolent",0.61
"benifits",0.41
"best",0.01
"best-known",0.61
"best-performing",1.11
"best-selling",0.81
"better",0.21
"better-known",0.81
"better-than-expected",1.61
"beutifully",0.61
"blameless",0.51
"bless",0.11
"blessing",0.41
"bliss",0.11
"blissful",0.41
"blissfully",0.61
"blithe",0.21
"blockbuster",0.71
"bloom",0.11
"blossom",0.31
"bolster",0.31
"bonny",0.11
"bonus",0.11
"bonuses",0.31
"boom",0.01
"booming",0.31
"boost",0.11
"boundless",0.51
"bountiful",0.51
"brainiest",0.51
"brainy",0.21
"brand-new",0.51
"brave",0.11
"bravery",0.31
"bravo",0.11
"breakthrough",0.81
"breakthroughs",0.91
"breathlessness",1.01
"breathtaking",0.81
"breathtakingly",1.01
