word	polarity
2-faced	-0.31
2-faces	-0.31
abnormal	-0.41
abolish	-0.31
abominable	-0.61
abominably	-0.61
abominate	-0.51
abomination	-0.71
abort	-0.11
aborted	-0.31
aborts	-0.21
abrade	-0.21
abrasive	-0.41
abrupt	-0.21
abruptly	-0.41
abscond	-0.31
absence	-0.31
absent-minded	-0.91
absentee	-0.41
absurd	-0.21
absurdity	-0.51
absurdly	-0.41
absurdness	-0.61
abuse	-0.11
abused	-0.21
abuses	-0.21
abusive	-0.31
abysmal	-0.31
abysmally	-0.51
abyss	-0.11
accidental	-0.61
accost	-0.21
accursed	-0.41
accusation	-0.61
accusations	-0.71
accuse	-0.21
accuses	-0.31
accusing	-0.41
accusingly	-0.61
acerbate	-0.41
acerbic	-0.31
acerbically	-0.71
ache	-0.01
ached	-0.11
aches	-0.11
achey	-0.11
aching	-0.21
acrid	-0.11
acridly	-0.31
acridness	-0.51
acrimonious	-0.71
acrimoniously	-0.91
acrimony	-0.41
adamant	-0.31
adamantly	-0.51
addict	-0.21
addicted	-0.41
addicting	-0.51
addicts	-0.31
admonish	-0.41
admonisher	-0.61
admonishingly	-0.91
admonishment	-0.81
admonition	-0.61
adulterate	-0.61
adulterated	-0.71
adulteration	-0.81
adulterier	-0.61
adversarial	-0.71
adversary	-0.51
adverse	-0.31
adversity	-0.51
afflict	-0.31
affliction	-0.61
afflictive	-0.61
affront	-0.31
afraid	-0.21
aggravate	-0.51
aggravating	-0.71
aggravation	-0.71
aggression	-0.61
aggressive	-0.61
aggressiveness	-1.01
aggressor	-0.51
aggrieve	-0.41
aggrieved	-0.51
aggrivation	-0.71
aghast	-0.21
agonies	-0.31
agonize	-0.31
agonizing	-0.51
agonizingly	-0.71
agony	-0.11
aground	-0.31
ail	0
ailing	-0.21
ailment	-0.31
aimless	-0.31
alarm	-0.11
alarmed	-0.31
alarming	-0.41
alarmingly	-0.61
alienate	-0.41
alienated	-0.51
alienation	-0.61
allegation	-0.61
allegations	-0.71
allege	-0.21
allergic	-0.41
allergies	-0.51
allergy	-0.31
aloof	-0.11
altercation	-0.71
ambiguity	-0.51
ambiguous	-0.51
ambivalence	-0.71
ambivalent	-0.61
ambush	-0.21
amiss	-0.11
amputate	-0.41
anarchism	-0.51
anarchist	-0.51
anarchistic	-0.71
anarchy	-0.31
anemic	-0.21
anger	-0.11
angrily	-0.31
angriness	-0.51
angry	-0.11
anguish	-0.31
animosity	-0.51
annihilate	-0.61
annihilation	-0.81
annoy	-0.11
